City,Location,Project Name,Property Title,Property Type,Unit Type,Area,Price (₹),Agent Name,Property Link
Pune,"Tathawade, Pune",Goel Ganga Amber,1 BHK + Extra Room 520 Sq.Ft. Apartment in Goel Ganga Amber,Apartment,1 BHK,Tathawade,5200000,RITESH S KHUDE ,https://www.squareyards.com/resale-1-bhk-extra-room-520-sq-ft-apartment-in-goel-ganga-amber/9238801
Pune,"Mundhwa, Pune",Goel Ganga Orchard,2 BHK 1050 Sq.Ft. Apartment in Goel Ganga Orchard,Apartment,2 BHK,Mundhwa,11500000,VRK PROPERTIES ,https://www.squareyards.com/resale-2-bhk-1050-sq-ft-apartment-in-goel-ganga-orchard/9021198
,"Sangamvadi, Pune",,,,,,,,
Pune,"Mulshi, Pune",,11000 Sq.Ft. Plot in Royal View Farms ,Plot,N/A,Mulshi,6700000,Reshma Hajite ,https://www.squareyards.com/resale-11000-sq-ft-plot-in-royal-view-farms/9097922
Pune,"Wagholi, Pune",Goyal My Home Upper Kharadi,3 BHK + Pooja Room 1210 Sq.Ft. Apartment in Goyal My Home Upper Kharadi,Apartment,3 BHK,Wagholi,11000000,SMG REALTORS ,https://www.squareyards.com/resale-3-bhk-pooja-room-1210-sq-ft-apartment-in-goyal-my-home-upper-kharadi/8765854
Pune,"Khandala, Pune",,"4 BHK + Pooja Room,Servant Room,Extra Room 2000 Sq.Ft. Villa in Florista Vally",Villa,4 BHK,Khandala,17000000,Pravin Dadabhau Pachpute ,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-extra-room-2000-sq-ft-villa-in-florista-vally/9044392
,"Wakad, Pune",,,,,,,,
Pune,"Mundhwa, Pune",Kohinoor Business Tower,23215 Sq.Ft. Office Space in Kohinoor Business Tower,Office Space,Office Space,Mundhwa,309920250,Vinod Ramakrishnan ,https://www.squareyards.com/resale-23215-sq-ft-office-space-in-kohinoor-business-tower/9041630
Pune,"Nibm Road, Pune",Lodha Bella Vita,2 BHK 814 Sq.Ft. Apartment in Lodha Bella Vita,Apartment,2 BHK,Nibm Road,9500000,Raj Kumar ,https://www.squareyards.com/resale-2-bhk-814-sq-ft-apartment-in-lodha-bella-vita/8810514
Pune,"Wakad, Pune",Safal Oneiro,2 BHK + Pooja Room 900 Sq.Ft. Apartment in Safal Oneiro,Apartment,2 BHK,Wakad,9000000,Ramesh Dattani ,https://www.squareyards.com/resale-2-bhk-pooja-room-900-sq-ft-apartment-in-safal-oneiro/8029019
,"Undri, Pune",,,,,,,,
Pune,"Bhugaon, Pune",Skyi Songbirds,2 BHK + Pooja Room 825 Sq.Ft. Apartment in Skyi Songbirds,Apartment,2 BHK,Bhugaon,10000000,ESTATE EXOTICA ,https://www.squareyards.com/resale-2-bhk-pooja-room-825-sq-ft-apartment-in-skyi-songbirds/8102942
Pune,"Baner, Pune",,11000 Sq.Ft. Office Space in Baner,Office Space,Office Space,Baner,250000000,Papu Gupta ,https://www.squareyards.com/resale-11000-sq-ft-office-space-in-baner/8769253
Pune,"Hinjewadi, Pune",,4 BHK 4650 Sq.Ft. Apartment in Sangaria,Apartment,4 BHK,Hinjewadi,40000000,Vijay Gheverchand Rao ,https://www.squareyards.com/resale-4-bhk-4650-sq-ft-apartment-in-sangaria/8241608
,"Hinjewadi, Pune",,,,,,,,
Pune,"Bavdhan, Pune",Ganga Legend,2 BHK 650 Sq.Ft. Apartment in Ganga Legend,Apartment,2 BHK,Bavdhan,8500000,Omkar ,https://www.squareyards.com/resale-2-bhk-650-sq-ft-apartment-in-ganga-legend/9387042
Pune,"Kondhwa Budruk, Pune",Paramount Eros Apartment,2.5 BHK + Pooja Room 1157 Sq.Ft. Apartment in Paramount Eros Apartment,Apartment,2.5 BHK,Kondhwa Budruk,8200000,vivek shinde ,https://www.squareyards.com/resale-2-5-bhk-pooja-room-1157-sq-ft-apartment-in-paramount-eros-apartment/9106338
Pune,"Punawale, Pune",Somani Dream Home,3 BHK 912 Sq.Ft. Apartment in Somani Dream Home,Apartment,3 BHK,Punawale,7800000,Syed Jamaal,https://www.squareyards.com/resale-3-bhk-912-sq-ft-apartment-in-somani-dream-home/9374769
,"Manjri Budruk, Pune",,,,,,,,
Pune,"Salisbury Park, Pune",West View Society,4 BHK + Pooja Room 1961 Sq.Ft. Apartment in West View Society,Apartment,4 BHK,Salisbury Park,51000000,yogesh Uttam Chaudhari ,https://www.squareyards.com/resale-4-bhk-pooja-room-1961-sq-ft-apartment-in-west-view-society/9111248
Pune,"Balaji Nagar, Pune",,4 BHK 1500 Sq.Ft. Apartment in Balaji Nagar,Apartment,4 BHK,Balaji Nagar,27945000,dilip kale,https://www.squareyards.com/resale-4-bhk-1500-sq-ft-apartment-in-balaji-nagar/9382722
Pune,"Vishal Nagar, Pune",Mangalmurti Apartments,1 BHK 490 Sq.Ft. Apartment in Mangalmurti Apartments,Apartment,1 BHK,Vishal Nagar,5400000,Mahesh,https://www.squareyards.com/resale-1-bhk-490-sq-ft-apartment-in-mangalmurti-apartments/9340118
,"Kondhwa, Pune",,,,,,,,
Pune,"Moshi, Pune",Shree Shankeshwar Sparsh,2 BHK + Study Room 660 Sq.Ft. Builder Floor in Shree Shankeshwar Sparsh,Builder Floor,2 BHK,Moshi,4400000,Prashant Govind Bhor ,https://www.squareyards.com/resale-2-bhk-study-room-660-sq-ft-builder-floor-in-shree-shankeshwar-sparsh/9101849
Pune,"Somatne Phata, Pune",N V Business Center,350 Sq.Ft. Office Space in N V Business Center,Office Space,Office Space,Somatne Phata,5200000,Arvind,https://www.squareyards.com/resale-350-sq-ft-office-space-in-n-v-business-center/9342093
Pune,"Shirur, Pune",,1010 Sq.Ft. Plot in Swami Samarth Developer -,Plot,N/A,Shirur,515000,Swami Samarth Developers ,https://www.squareyards.com/resale-1010-sq-ft-plot-in-swami-samarth-developer/9374730
Pune,"Undri, Pune",Gagan Ela,2 BHK 736 Sq.Ft. Apartment in Gagan Ela,Apartment,2 BHK,Undri,7200000,Avinash Seymour ,https://www.squareyards.com/resale-2-bhk-736-sq-ft-apartment-in-gagan-ela/8875693
Pune,"Pimple Gurav, Pune",Kalpataru Estate,2 BHK 1300 Sq.Ft. Apartment in Kalpataru Estate,Apartment,2 BHK,Pimple Gurav,11500000,Sky vision properties ,https://www.squareyards.com/resale-2-bhk-1300-sq-ft-apartment-in-kalpataru-estate/9382083
Pune,"Ambegaon Budruk, Pune",,3 BHK + Pooja Room 1475 Sq.Ft. Apartment in Ambegaon Budruk ,Apartment,3 BHK,Ambegaon Budruk,13500000,Morya Properties And Multi Services ,https://www.squareyards.com/resale-3-bhk-pooja-room-1475-sq-ft-apartment-in-ambegaon-budruk/9388024
Pune,"Pimple Saudagar, Pune",GK Rose County,2.5 BHK 980 Sq.Ft. Apartment in GK Rose County,Apartment,2.5 BHK,Pimple Saudagar,10000000,Kiran Waghmare ,https://www.squareyards.com/resale-2-5-bhk-980-sq-ft-apartment-in-gk-rose-county/9381359
,"Hinjewadi, Pune",,,,,,,,
Pune,"Pimple Gurav, Pune",Silver Paradise Pimple Gurav,2 BHK 744 Sq.Ft. Apartment in Silver Paradise Pimple Gurav,Apartment,2 BHK,Pimple Gurav,9100000,Prakash Sawant ,https://www.squareyards.com/resale-2-bhk-744-sq-ft-apartment-in-silver-paradise-pimple-gurav/9000510
Pune,"Bhor, Pune",,40000 Sq.Ft. Plot in Shivgad Valley,Plot,N/A,Bhor,1500000,Sandip Ankush Dagade ,https://www.squareyards.com/resale-40000-sq-ft-plot-in-shivgad-valley/9134426
Pune,"Bavdhan, Pune",Ganga Legend,2 BHK 840 Sq.Ft. Apartment in Ganga Legend,Apartment,2 BHK,Bavdhan,8300000,Yogesh Raju Basule ,https://www.squareyards.com/resale-2-bhk-840-sq-ft-apartment-in-ganga-legend/9388240
,"Hadapsar, Pune",,,,,,,,
Pune,"Wanwadi, Pune",Riviera Society,2 BHK 1300 Sq.Ft. Apartment in Riviera Society,Apartment,2 BHK,Wanwadi,7200000,Ganesh Jadhav ,https://www.squareyards.com/resale-2-bhk-1300-sq-ft-apartment-in-riviera-society/9383572
Pune,"Viman Nagar, Pune",Goel Ganga Hamlet,3 BHK + Pooja Room 1600 Sq.Ft. Apartment in Goel Ganga Hamlet,Apartment,3 BHK,Viman Nagar,19000000,OM REALTORS Mahesh samat ,https://www.squareyards.com/resale-3-bhk-pooja-room-1600-sq-ft-apartment-in-goel-ganga-hamlet/9390129
Pune,"Wagholi, Pune",Karia Konark Orchid,2 BHK 1045 Sq.Ft. Apartment in Karia Konark Orchid,Apartment,2 BHK,Wagholi,8500000,Ashok kumar ,https://www.squareyards.com/resale-2-bhk-1045-sq-ft-apartment-in-karia-konark-orchid/9275398
,"Hinjewadi, Pune",,,,,,,,
Pune,"Dhanori, Pune",Nyati Era,3 BHK 1175 Sq.Ft. Apartment in Nyati Era,Apartment,3 BHK,Dhanori,12000000,Laxman karche ,https://www.squareyards.com/resale-3-bhk-1175-sq-ft-apartment-in-nyati-era/9350103
Pune,"Pashan, Pune",The Gen Meraki,2 BHK 916 Sq.Ft. Apartment in The Gen Meraki,Apartment,2 BHK,Pashan,14500000,UB realty ,https://www.squareyards.com/resale-2-bhk-916-sq-ft-apartment-in-the-gen-meraki/9324007
Pune,"Kalyani Nagar, Pune",Bramhacorp The Collection,3 BHK 1090 Sq.Ft. Apartment in Bramhacorp The Collection,Apartment,3 BHK,Kalyani Nagar,16500000,PROP INDIA ,https://www.squareyards.com/resale-3-bhk-1090-sq-ft-apartment-in-bramhacorp-the-collection/9341549
,"Wakad, Pune",,,,,,,,
Pune,"Dhanori, Pune",Pride Aashiyana,3 BHK + Pooja Room 979 Sq.Ft. Apartment in Pride Aashiyana,Apartment,3 BHK,Dhanori,9800000,A Square Properties ,https://www.squareyards.com/resale-3-bhk-pooja-room-979-sq-ft-apartment-in-pride-aashiyana/9239573
Pune,"Bhoirwadi, Pune",VTP Belair,"3 BHK + Pooja Room,Servant Room,Study Room,Extra Room 962 Sq.Ft. Apartment in VTP Belair",Apartment,3 BHK,Bhoirwadi,10000000,Rohit suravase ,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-962-sq-ft-apartment-in-vtp-belair/9179006
Pune,"Kalyani Nagar, Pune",Dugad Panache,2 BHK + Extra Room 931 Sq.Ft. Apartment in Dugad Panache,Apartment,2 BHK,Kalyani Nagar,17500000,Vikas Trivedi ,https://www.squareyards.com/resale-2-bhk-extra-room-931-sq-ft-apartment-in-dugad-panache/9322612
,"Punawale, Pune",,,,,,,,
Pune,"Mundhwa, Pune",Magarpatta Nova Residency,2.5 BHK + Servant Room 960 Sq.Ft. Apartment in Magarpatta Nova Residency,Apartment,2.5 BHK,Mundhwa,10000000,Mohammad Yusuf ,https://www.squareyards.com/resale-2-5-bhk-servant-room-960-sq-ft-apartment-in-magarpatta-nova-residency/9204662
Pune,"Baner, Pune",BD Blossom,2 BHK + Pooja Room 950 Sq.Ft. Apartment in BD Blossom,Apartment,2 BHK,Baner,9500000,PRADEEP ASHOK ,https://www.squareyards.com/resale-2-bhk-pooja-room-950-sq-ft-apartment-in-bd-blossom/9339626
Pune,"Dhanori, Pune",Organic Dhanorina,2.5 BHK + Extra Room 1140 Sq.Ft. Apartment in Organic Dhanorina,Apartment,2.5 BHK,Dhanori,7500000,PRAVIN BHAGWAN SHELAR ,https://www.squareyards.com/resale-2-5-bhk-extra-room-1140-sq-ft-apartment-in-organic-dhanorina/9303309
,"Kharadi, Pune",,,,,,,,
Pune,"Wagholi, Pune",Pristine Meadows,2 BHK 1050 Sq.Ft. Apartment in Pristine Meadows,Apartment,2 BHK,Wagholi,5700000,SADA PROPERTIES ,https://www.squareyards.com/resale-2-bhk-1050-sq-ft-apartment-in-pristine-meadows/9152089
Pune,"Pimple Saudagar, Pune",SSD Sai Dreams,2.5 BHK 1250 Sq.Ft. Apartment in SSD Sai Dreams,Apartment,2.5 BHK,Pimple Saudagar,12800000,Oasis Realty Solutions ,https://www.squareyards.com/resale-2-5-bhk-1250-sq-ft-apartment-in-ssd-sai-dreams/9248561
Pune,"Fatima Nagar, Pune",Kumar Kunj,2.5 BHK 1420 Sq.Ft. Apartment in Kumar Kunj,Apartment,2.5 BHK,Fatima Nagar,9000000,Siraj Faroukh Shaikh ,https://www.squareyards.com/resale-2-5-bhk-1420-sq-ft-apartment-in-kumar-kunj/9271754
,"Hinjewadi, Pune",,,,,,,,
Pune,"Kothrud, Pune",Pethkar Samrajya,3 BHK 1500 Sq.Ft. Apartment in Pethkar Samrajya,Apartment,3 BHK,Kothrud,27500000,SASWADKAR AVINASH BHARAT ,https://www.squareyards.com/resale-3-bhk-1500-sq-ft-apartment-in-pethkar-samrajya/9308014
Pune,"Lonavala, Pune",Puranik Sayama,3 BHK + Servant Room 1700 Sq.Ft. Apartment in Puranik Sayama,Apartment,3 BHK,Lonavala,25000000,Mr Amol ,https://www.squareyards.com/resale-3-bhk-servant-room-1700-sq-ft-apartment-in-puranik-sayama/9307262
Pune,"Kiwale, Pune",Legacy Imperial,2 BHK 639 Sq.Ft. Apartment in Legacy Imperial,Apartment,2 BHK,Kiwale,8500000,Dipak Shinde ,https://www.squareyards.com/resale-2-bhk-639-sq-ft-apartment-in-legacy-imperial/9272539
,"Mahalunge, Pune",,,,,,,,
Pune,"Baner Pashan Link Road, Pune",Amar Serenity,4 BHK + Extra Room 2500 Sq.Ft. Apartment in Amar Serenity,Apartment,4 BHK,Baner Pashan Link Road,26000000,Nilesh Ramesh Patkar ,https://www.squareyards.com/resale-4-bhk-extra-room-2500-sq-ft-apartment-in-amar-serenity/9013109
Pune,"Mundhwa, Pune",Osian Almanova,3 BHK + Pooja Room 1058 Sq.Ft. Apartment in Osian Almanova,Apartment,3 BHK,Mundhwa,14000000,Rohan Chaturvedi ,https://www.squareyards.com/resale-3-bhk-pooja-room-1058-sq-ft-apartment-in-osian-almanova/9125731
Pune,"Pimpri, Pune",Mahindra Royale,2 BHK 1200 Sq.Ft. Apartment in Mahindra Royale,Apartment,2 BHK,Pimpri,15000000,Niraj ,https://www.squareyards.com/resale-2-bhk-1200-sq-ft-apartment-in-mahindra-royale/9357017
Pune,"Kharadi, Pune",VTP Urban Soul,2 BHK 750 Sq.Ft. Apartment in VTP Urban Soul,Apartment,2 BHK,Kharadi,8800000,Puneri Property ,https://www.squareyards.com/resale-2-bhk-750-sq-ft-apartment-in-vtp-urban-soul/9374800
,"Kharadi, Pune",,,,,,,,
Pune,"Erandwane, Pune",Sankul Apartments,3 BHK + Pooja Room 1650 Sq.Ft. Apartment in Sankul Apartments,Apartment,3 BHK,Erandwane,29000000,KM ASSETS ,https://www.squareyards.com/resale-3-bhk-pooja-room-1650-sq-ft-apartment-in-sankul-apartments/9280099
Pune,"Bavdhan, Pune",Gera Isle Royale,"3.5 BHK + Pooja Room,Servant Room 2075 Sq.Ft. Apartment in Gera Isle Royale",Apartment,3.5 BHK,Bavdhan,31000000,Trilok Doshi ,https://www.squareyards.com/resale-3-5-bhk-pooja-room-servant-room-2075-sq-ft-apartment-in-gera-isle-royale/9200906
Pune,"Kondhwa Budruk, Pune",Tribute Ultima Grandeur,3 BHK 1315 Sq.Ft. Apartment in Tribute Ultima Grandeur,Apartment,3 BHK,Kondhwa Budruk,16200000,Sumeet Chopda ,https://www.squareyards.com/resale-3-bhk-1315-sq-ft-apartment-in-tribute-ultima-grandeur/9388728
,"Wakad, Pune",,,,,,,,
Pune,"Wakad, Pune",Malpani Greens,2 BHK + Pooja Room 1206 Sq.Ft. Apartment in Malpani Greens,Apartment,2 BHK,Wakad,12500000,nilesh suryavanshi ,https://www.squareyards.com/resale-2-bhk-pooja-room-1206-sq-ft-apartment-in-malpani-greens/9196193
Pune,"Rahatani, Pune",Vidya Kaka Homes,1.5 BHK 595 Sq.Ft. Apartment in Vidya Kaka Homes,Apartment,1.5 BHK,Rahatani,6300000,Hemant Phadnis ,https://www.squareyards.com/resale-1-5-bhk-595-sq-ft-apartment-in-vidya-kaka-homes/9103185
Pune,"Guruwar Peth, Pune",,585 Sq.Ft. Office Space in Khadke Building ,Office Space,Office Space,Guruwar Peth,6000000,Satvashil Netaji Palkar ,https://www.squareyards.com/resale-585-sq-ft-office-space-in-khadke-building/9271874
,"Hinjewadi, Pune",,,,,,,,
Pune,"Pimple Nilakh, Pune",Kolte Patil 24K Atria,"6 BHK + Pooja Room,Servant Room 100000 Sq.Ft. Penthouse in Kolte Patil 24K Atria",Penthouse,6 BHK,Pimple Nilakh,100000000,jyoti pujari ,https://www.squareyards.com/resale-6-bhk-pooja-room-servant-room-100000-sq-ft-penthouse-in-kolte-patil-24k-atria/9166684
Pune,"Kharadi, Pune",Goel Ganga Constella,2 BHK + Pooja Room 775 Sq.Ft. Apartment in Goel Ganga Constella,Apartment,2 BHK,Kharadi,9200000,ML PROPERTIES ,https://www.squareyards.com/resale-2-bhk-pooja-room-775-sq-ft-apartment-in-goel-ganga-constella/9052970
Pune,"Kothrud, Pune",Lodha Palais,4 BHK + Extra Room 2023 Sq.Ft. Apartment in Lodha Palais,Apartment,4 BHK,Kothrud,55000000,Anju bala ,https://www.squareyards.com/resale-4-bhk-extra-room-2023-sq-ft-apartment-in-lodha-palais/9347073
,"Pimpri, Pune",,,,,,,,
Pune,"Narhe, Pune",Suvidha Ambar,1 BHK 550 Sq.Ft. Apartment in Suvidha Ambar,Apartment,1 BHK,Narhe,3600000,Anil Ranjane ,https://www.squareyards.com/resale-1-bhk-550-sq-ft-apartment-in-suvidha-ambar/9175554
Pune,"Hinjewadi, Pune",Kolte Patil Life Republic,2 BHK + Pooja Room 801 Sq.Ft. Apartment in Kolte Patil Life Republic,Apartment,2 BHK,Hinjewadi,7700000,uphade krashana pandit ,https://www.squareyards.com/resale-2-bhk-pooja-room-801-sq-ft-apartment-in-kolte-patil-life-republic/9237096
Pune,"Hinjewadi, Pune",Pride Purple Park Astra,3 BHK + Pooja Room 722 Sq.Ft. Apartment in Pride Purple Park Astra,Apartment,3 BHK,Hinjewadi,18200000,samit Agrawal ,https://www.squareyards.com/resale-3-bhk-pooja-room-722-sq-ft-apartment-in-pride-purple-park-astra/9109542
,"Hadapsar, Pune",,,,,,,,
