,City,Project Name,Property Type,Locality,BHK,Area_SqFt_Number,Area_per_SqFt_Price,Affordability,Price_in_Lakh,City_Project
576,Gurgaon,Anant Raj Ashok Estate,Builder Floor,Sector 63a,3,1595,16614,Moderately Affordable,264,Gurgaon - Anant Raj Ashok Estate
577,Noida,Eldeco Utopia,Apartment,Sector 93a,2,1535,14984,Highly Affordable,230,Noida - Eldeco Utopia
578,Noida,ABCZ East Sapphire,Builder Floor,Sector 45,2,800,5250,Highly Affordable,42,Noida - ABCZ East Sapphire
579,Noida,Godrej Palm Retreat,Apartment,Sector 150,4,3300,12727,Moderately Affordable,420,Noida - Godrej Palm Retreat
580,Noida,Amrapali Platinum,Apartment,Sector 119,5,3459,7228,Highly Affordable,250,Noida - Amrapali Platinum
581,Noida,Aims Golf City,Apartment,Sector 75,5,1550,7742,Highly Affordable,120,Noida - Aims Golf City
582,Noida,Sunworld Arista,Apartment,Sector 168,4,2740,14015,Moderately Affordable,384,Noida - Sunworld Arista
583,Noida,Amrapali Platinum,Apartment,Sector 119,3,1775,8732,Highly Affordable,155,Noida - Amrapali Platinum
584,Noida,Ultima 107,Apartment,Sector 104,5,1530,5556,Highly Affordable,85,Noida - Ultima 107
585,Noida,Ajnara Grand Heritage,Apartment,Sector 74,3,1545,11974,Highly Affordable,185,Noida - Ajnara Grand Heritage
586,Noida,The 3C Lotus Panache,Apartment,Sector 110,4,2794,11990,Moderately Affordable,335,Noida - The 3C Lotus Panache
587,Noida,Ajnara Daffodil,Apartment,Sector 137,3,1435,11847,Highly Affordable,170,Noida - Ajnara Daffodil
588,Noida,Godrej Woods,Apartment,Sector 43,3,2088,18199,Moderately Affordable,380,Noida - Godrej Woods
589,Noida,Purvanchal Royal Park,Apartment,Sector 137,4,2955,15228,Moderately Affordable,450,Noida - Purvanchal Royal Park
590,Noida,Gardenia Golf City,Apartment,Sector 75,3,1350,12000,Highly Affordable,162,Noida - Gardenia Golf City
591,Noida,Jaypee Greens Kosmos,Apartment,Sector 134,3,1330,8271,Highly Affordable,110,Noida - Jaypee Greens Kosmos
592,Noida,Sikka Kaamna Greens,Apartment,Sector 143a Noida,4,2727,11735,Moderately Affordable,320,Noida - Sikka Kaamna Greens
593,Noida,DS Homes Noida,Builder Floor,Sector 70,2,1175,3489,Highly Affordable,41,Noida - DS Homes Noida
594,Noida,Elite Golf Green,Apartment,Sector 79,3,983,25432,Highly Affordable,250,Noida - Elite Golf Green
595,Noida,SAP Homes,Builder Floor,Sector 49,2,1050,3429,Highly Affordable,36,Noida - SAP Homes
596,Noida,Supertech Cape Town,Apartment,Sector 74,2,930,12903,Highly Affordable,120,Noida - Supertech Cape Town
597,Noida,Royal Towers Noida,Apartment,Sector 60,3,1607,10579,Highly Affordable,170,Noida - Royal Towers Noida
598,Noida,ABA Cleo County,Apartment,Sector 121,3,1827,20525,Moderately Affordable,375,Noida - ABA Cleo County
599,Noida,Varun Enclave,Apartment,Sector 28,4,1550,16774,Moderately Affordable,260,Noida - Varun Enclave
600,Noida,ABA Cleo County,Apartment,Sector 121,3,1620,20370,Moderately Affordable,330,Noida - ABA Cleo County
601,Noida,Exotica Fresco,Apartment,Sector 137,3,1690,14201,Highly Affordable,240,Noida - Exotica Fresco
602,Noida,Divine Meadows,Apartment,Sector 108,5,1436,9401,Highly Affordable,135,Noida - Divine Meadows
603,Noida,ABA Cleo County,Apartment,Sector 121,3,2070,21256,Moderately Affordable,440,Noida - ABA Cleo County
604,Noida,Homes 121,Apartment,Sector 121,3,1235,10202,Highly Affordable,126,Noida - Homes 121
605,Noida,Jm Orchid,Apartment,Sector 76,2,1147,12380,Highly Affordable,142,Noida - Jm Orchid
606,Noida,Supertech Cape Town,Apartment,Sector 74,2,930,10000,Highly Affordable,93,Noida - Supertech Cape Town
607,Noida,Amrapali Crystal Homes,Apartment,Sector 76,3,1375,11636,Highly Affordable,160,Noida - Amrapali Crystal Homes
608,Noida,Jaypee Greens AMAN II,Apartment,Sector 151,2,953,7135,Highly Affordable,68,Noida - Jaypee Greens AMAN II
609,Noida,ABA Ivy County,Apartment,Sector 75,4,2511,18917,Moderately Affordable,475,Noida - ABA Ivy County
610,Noida,Sunshine Apartments Sector 73,Builder Floor,Sector 73,2,1350,3926,Highly Affordable,53,Noida - Sunshine Apartments Sector 73
611,Noida,Jaypee Greens Aman,Apartment,Sector 151,3,1293,7981,Highly Affordable,103,Noida - Jaypee Greens Aman
612,Noida,ATS Le Grandiose,Apartment,Sector 150,3,1625,11692,Highly Affordable,190,Noida - ATS Le Grandiose
613,Noida,Jaypee Kensington Park Apartments,Apartment,Sector 133,3,1515,8581,Highly Affordable,130,Noida - Jaypee Kensington Park Apartments
614,Noida,Ultima 107,Builder Floor,Sector 104,2,1095,5936,Highly Affordable,65,Noida - Ultima 107
615,Noida,Dasnac Westminster,Apartment,Sector 146,4,4800,17708,Luxury,850,Noida - Dasnac Westminster
616,Noida,JM Aroma,Apartment,Sector 75,3,1550,12581,Highly Affordable,195,Noida - JM Aroma
617,Noida,Godrej Nurture,Apartment,Sector 150,2,1500,20000,Moderately Affordable,300,Noida - Godrej Nurture
618,Noida,Arawali Apartments,Apartment,Sector 52,1,600,9167,Highly Affordable,55,Noida - Arawali Apartments
619,Noida,Aims Golf City,Apartment,Sector 75,5,1550,8000,Highly Affordable,124,Noida - Aims Golf City
620,Noida,Jaypee Green Wish town Klassic,Apartment,Sector 134,3,1900,10000,Highly Affordable,190,Noida - Jaypee Green Wish town Klassic
621,Noida,Assotech Windsor Court,Apartment,Sector 78,5,1640,8537,Highly Affordable,140,Noida - Assotech Windsor Court
622,Noida,Godrej Woods,Apartment,Sector 43,5,1545,22718,Moderately Affordable,351,Noida - Godrej Woods
623,Noida,Ajnara Grand Heritage,Apartment,Sector 74,2,1075,11163,Highly Affordable,120,Noida - Ajnara Grand Heritage
624,Noida,JM Aroma,Apartment,Sector 75,3,1550,14194,Highly Affordable,220,Noida - JM Aroma
625,Noida,Jaypee Greens Kosmos,Apartment,Sector 134,2,950,7158,Highly Affordable,68,Noida - Jaypee Greens Kosmos
626,Noida,Paramount Floraville,Apartment,Sector 137,2,1240,10887,Highly Affordable,135,Noida - Paramount Floraville
627,Noida,JM Aroma,Apartment,Sector 75,3,1550,12903,Highly Affordable,200,Noida - JM Aroma
628,Noida,ACE Parkway,Apartment,Sector 150,5,2190,14475,Moderately Affordable,317,Noida - ACE Parkway
629,Noida,Nimbus The Hyde park,Apartment,Sector 78,3,1320,12121,Highly Affordable,160,Noida - Nimbus The Hyde park
630,Noida,Amrapali Crystal Homes,Apartment,Sector 76,3,1375,13091,Highly Affordable,180,Noida - Amrapali Crystal Homes
631,Noida,Gulshan Botnia,Apartment,Sector 144,5,1160,15517,Highly Affordable,180,Noida - Gulshan Botnia
632,Noida,Ace Starlit,Apartment,Sector 152,2,804,23010,Highly Affordable,185,Noida - Ace Starlit
633,Noida,Parsvnath Prestige,Apartment,Sector 93a,3,1550,16000,Highly Affordable,248,Noida - Parsvnath Prestige
634,Noida,NDA Kanchanjunga Apartments,Apartment,Sector 53,3,1150,9565,Highly Affordable,110,Noida - NDA Kanchanjunga Apartments
635,Noida,Shubhkamna Advert Apartments,Apartment,Sector 50,3,1550,13871,Highly Affordable,215,Noida - Shubhkamna Advert Apartments
636,Noida,Amrapali Platinum,Apartment,Sector 119,3,1495,8361,Highly Affordable,125,Noida - Amrapali Platinum
637,Noida,Mahagun Medalleo,Apartment,Sector 107,3,2500,17000,Moderately Affordable,425,Noida - Mahagun Medalleo
638,Noida,Gulshan Vivante,Apartment,Sector 137,4,2645,16068,Moderately Affordable,425,Noida - Gulshan Vivante
639,Noida,Panchsheel Pratistha,Apartment,Sector 75,2,1310,13511,Highly Affordable,177,Noida - Panchsheel Pratistha
640,Noida,Parsvnath Prestige,Apartment,Sector 93a,3,1795,12813,Highly Affordable,230,Noida - Parsvnath Prestige
641,Noida,Church View Apartments,Apartment,Sector 29,5,1800,16667,Moderately Affordable,300,Noida - Church View Apartments
642,Noida,Amrapali Platinum,Apartment,Sector 119,3,1495,8361,Highly Affordable,125,Noida - Amrapali Platinum
643,Noida,ABA Ivy County,Apartment,Sector 75,3,1656,17814,Moderately Affordable,295,Noida - ABA Ivy County
644,Noida,Aditya Urban Casa,Apartment,Sector 78,2,1074,9777,Highly Affordable,105,Noida - Aditya Urban Casa
645,Noida,ACE Parkway,Apartment,Sector 150,2,1085,11982,Highly Affordable,130,Noida - ACE Parkway
646,Noida,Ajnara Grand Heritage,Apartment,Sector 74,3,1440,11111,Highly Affordable,160,Noida - Ajnara Grand Heritage
647,Noida,DMD Hometech 2,Builder Floor,Sector 53,3,1650,4727,Highly Affordable,77,Noida - DMD Hometech 2
648,Noida,ABA County 107,Apartment,Sector 107,4,4482,25658,Luxury,1134,Noida - ABA County 107
649,Noida,Jaypee Greens Pavilion Court,Apartment,Sector 128,2,1350,8519,Highly Affordable,115,Noida - Jaypee Greens Pavilion Court
650,Noida,Jaypee Wish Town Klassic,Apartment,Sector 134,3,1711,9351,Highly Affordable,160,Noida - Jaypee Wish Town Klassic
651,Noida,Jaypee Greens Kosmos,Apartment,Sector 134,5,1356,8481,Highly Affordable,115,Noida - Jaypee Greens Kosmos
652,Noida,Supertech Cape Town,Apartment,Sector 74,3,1295,10193,Highly Affordable,132,Noida - Supertech Cape Town
653,Noida,Sethi Max Royale,Apartment,Sector 76,2,940,10851,Highly Affordable,102,Noida - Sethi Max Royale
654,Noida,Jaypee Kasa Isles,Apartment,Sector 129,4,1870,8021,Highly Affordable,150,Noida - Jaypee Kasa Isles
655,Noida,Galaxy Saraswati Vihar,Builder Floor,Sector 140a,2,1000,2500,Highly Affordable,25,Noida - Galaxy Saraswati Vihar
656,Noida,Logix Blossom County,Apartment,Sector 137,2,1040,8173,Highly Affordable,85,Noida - Logix Blossom County
657,Noida,SL Apartments Sector 49,Builder Floor,Sector 49,2,1050,3429,Highly Affordable,36,Noida - SL Apartments Sector 49
658,Noida,Ace Golfshire,Apartment,Sector 150,2,1195,11715,Highly Affordable,140,Noida - Ace Golfshire
659,Noida,The 3C Lotus Panache,Apartment,Sector 110,4,2794,11811,Moderately Affordable,330,Noida - The 3C Lotus Panache
660,Noida,Supertech Cape Town,Apartment,Sector 74,2,1082,9704,Highly Affordable,105,Noida - Supertech Cape Town
661,Noida,Gardenia Golf City,Apartment,Sector 75,5,1750,14286,Highly Affordable,250,Noida - Gardenia Golf City
662,Noida,Tata Value Homes,Apartment,Sector 150,2,1100,10727,Highly Affordable,118,Noida - Tata Value Homes
663,Noida,Urbtech Hilston,Apartment,Sector 79,5,1310,9542,Highly Affordable,125,Noida - Urbtech Hilston
664,Noida,Express Zenith,Apartment,Sector 77,5,3600,11111,Moderately Affordable,400,Noida - Express Zenith
665,Noida,Amrapali Silicon City,Penthouse,Sector 76,4,3185,11931,Moderately Affordable,380,Noida - Amrapali Silicon City
666,Noida,ATS Le Grandiose,Apartment,Sector 150,5,2000,11400,Highly Affordable,228,Noida - ATS Le Grandiose
667,Kolkata,Rameswara Riverview,Apartment,Barrackpore,2,610,8016,Highly Affordable,48,Kolkata - Rameswara Riverview
668,Kolkata,Siddha Happyville,Apartment,Rajarhat New Town,3,1445,8650,Highly Affordable,124,Kolkata - Siddha Happyville
669,Kolkata,Siddha Galaxia,Apartment,Rajarhat,3,1200,9167,Highly Affordable,110,Kolkata - Siddha Galaxia
670,Kolkata,Natural Heights 2,Apartment,Kaikhali,3,1857,6462,Highly Affordable,120,Kolkata - Natural Heights 2
671,Kolkata,Merlin Skygaze,Apartment,Em Bypass,3,767,10020,Highly Affordable,76,Kolkata - Merlin Skygaze
672,Kolkata,GLS Ruposi Bangla,Apartment,New Town Action Area 1,3,1040,10856,Highly Affordable,112,Kolkata - GLS Ruposi Bangla
673,Kolkata,Eden Solaris Joka,Apartment,Bishnupur,3,910,4286,Highly Affordable,39,Kolkata - Eden Solaris Joka
674,Kolkata,Eden City Maheshtala,Apartment,Purbachal,3,1236,2994,Highly Affordable,37,Kolkata - Eden City Maheshtala
675,Kolkata,Sunrise Towers,Apartment,Beliaghata,3,1357,9285,Highly Affordable,126,Kolkata - Sunrise Towers
676,Kolkata,Sulekha Shanti Apartment,Apartment,Dum Dum,3,1100,3455,Highly Affordable,38,Kolkata - Sulekha Shanti Apartment
677,Kolkata,Godrej Platinum,Apartment,Alipore,4,5075,26601,Luxury,1134,Kolkata - Godrej Platinum
678,Kolkata,Bengal Urban Sabujayan,Apartment,Mukundapur,2,984,5589,Highly Affordable,55,Kolkata - Bengal Urban Sabujayan
679,Kolkata,Kristi Villa,Apartment,Chinar Park,3,1200,4833,Highly Affordable,58,Kolkata - Kristi Villa
680,Kolkata,Godrej Orchard,Apartment,Joka,3,1052,4753,Highly Affordable,50,Kolkata - Godrej Orchard
681,Kolkata,Jeet Residency Phase III,Apartment,Nayabad,3,1270,4331,Highly Affordable,55,Kolkata - Jeet Residency Phase III
682,Kolkata,Godrej Prakriti,Apartment,Bt Road,2,929,6459,Highly Affordable,60,Kolkata - Godrej Prakriti
683,Kolkata,Siddha Water Front,Apartment,Barrackpore,2,803,4110,Highly Affordable,33,Kolkata - Siddha Water Front
684,Kolkata,Sunland Residency,Apartment,Bablatala,2,950,6842,Highly Affordable,65,Kolkata - Sunland Residency
685,Kolkata,Tolly Palace,Apartment,Bansdroni,5,428,5841,Highly Affordable,25,Kolkata - Tolly Palace
686,Kolkata,Swagat Skyline,Apartment,Narayanpur,3,1024,4004,Highly Affordable,41,Kolkata - Swagat Skyline
687,Kolkata,Purti The Varanda,Apartment,Lake Town,3,1300,5385,Highly Affordable,70,Kolkata - Purti The Varanda
