,City,Location,Project Name,Property Title,Property Type,Locality,Price,BHK,Area_SqFt_Number,Area_per_SqFt_Price
36,Pune,"Pimple Gurav, Pune",Kalpataru Estate,2 BHK 1300 Sq.Ft. Apartment in Kalpataru Estate,Apartment,Pimple Gurav,11500000,2,1300,8846.0
37,Pune,"Pimple Saudagar, Pune",GK Rose County,2.5 BHK 980 Sq.Ft. Apartment in GK Rose County,Apartment,Pimple Saudagar,10000000,5,980,10204.0
38,Pune,"Pimple Gurav, Pune",Silver Paradise Pimple Gurav,2 BHK 744 Sq.Ft. Apartment in Silver Paradise Pimple Gurav,Apartment,Pimple Gurav,9100000,2,744,12231.0
39,Pune,"Bavdhan, Pune",Ganga Legend,2 BHK 840 Sq.Ft. Apartment in Ganga Legend,Apartment,Bavdhan,8300000,2,840,9881.0
40,Pune,"Wanwadi, Pune",Riviera Society,2 BHK 1300 Sq.Ft. Apartment in Riviera Society,Apartment,Wanwadi,7200000,2,1300,5538.0
41,Pune,"Viman Nagar, Pune",Goel Ganga Hamlet,3 BHK + Pooja Room 1600 Sq.Ft. Apartment in Goel Ganga Hamlet,Apartment,Viman Nagar,19000000,3,1600,11875.0
42,Pune,"Wagholi, Pune",Karia Konark Orchid,2 BHK 1045 Sq.Ft. Apartment in Karia Konark Orchid,Apartment,Wagholi,8500000,2,1045,8134.0
43,Pune,"Dhanori, Pune",Nyati Era,3 BHK 1175 Sq.Ft. Apartment in Nyati Era,Apartment,Dhanori,12000000,3,1175,10213.0
44,Pune,"Pashan, Pune",The Gen Meraki,2 BHK 916 Sq.Ft. Apartment in The Gen Meraki,Apartment,Pashan,14500000,2,916,15830.0
45,Pune,"Kalyani Nagar, Pune",Bramhacorp The Collection,3 BHK 1090 Sq.Ft. Apartment in Bramhacorp The Collection,Apartment,Kalyani Nagar,16500000,3,1090,15138.0
46,Pune,"Dhanori, Pune",Pride Aashiyana,3 BHK + Pooja Room 979 Sq.Ft. Apartment in Pride Aashiyana,Apartment,Dhanori,9800000,3,979,10010.0
