,City,Location,Project Name,Property Title,Property Type,Locality,Price,BHK,Area_SqFt_Number,Area_per_SqFt_Price
150,Mumbai,"Mulund West, Mumbai",Sheth Montana,3 BHK 1108 Sq.Ft. Apartment in Sheth Montana,Apartment,Mulund West,36000000,3,1108,32491.0
151,Mumbai,"Powai, Mumbai",Sapphire Lakeside,1 BHK 476 Sq.Ft. Apartment in Sapphire Lakeside,Apartment,Powai,11000000,1,476,23109.0
152,Mumbai,"Powai, Mumbai",Sapphire Lakeside,1 BHK 550 Sq.Ft. Apartment in Sapphire Lakeside,Apartment,Powai,10800000,1,550,19636.0
153,Mumbai,"Khar West, Mumbai",Rajhuns Apartment,2 BHK 800 Sq.Ft. Apartment in Rajhuns Apartment,Apartment,Khar West,45000000,2,800,56250.0
154,Mumbai,"Bandra East, Mumbai",Adani Ten BKC,3 BHK + Pooja Room 976 Sq.Ft. Apartment in Adani Ten BKC,Apartment,Bandra East,62500000,3,976,64037.0
155,Mumbai,"Peddar Road, Mumbai",Sukh Shanti CHS Cumbala Hill,2 BHK 1550 Sq.Ft. Apartment in Sukh Shanti CHS Cumbala Hill,Apartment,Peddar Road,75000000,2,1550,48387.0
156,Mumbai,"Prabhadevi, Mumbai",Rustomjee Crown,4 BHK + Servant Room 2230 Sq.Ft. Apartment in Rustomjee Crown,Apartment,Prabhadevi,142000000,4,2230,63677.0
157,Mumbai,"Nahur East, Mumbai",Neelam Senroofs,4 BHK + Extra Room 1250 Sq.Ft. Apartment in Neelam Senroofs,Apartment,Nahur East,40000000,4,1250,32000.0
158,Mumbai,"Kurla East, Mumbai",Raghav Marvel,1 BHK + Extra Room 453 Sq.Ft. Apartment in Raghav Marvel,Apartment,Kurla East,11500000,1,453,25386.0
159,Mumbai,"Chembur, Mumbai",Bharti Aarambh,2 BHK 653 Sq.Ft. Apartment in Bharti Aarambh,Apartment,Chembur,18100000,2,653,27718.0
160,Mumbai,"Andheri West, Mumbai",Seven Bungalow,2 BHK 855 Sq.Ft. Apartment in Seven Bungalow,Apartment,Andheri West,26000000,2,855,30409.0
161,Mumbai,"Malad East, Mumbai",Shree Krishna Heights Malad,2 BHK + Pooja Room 710 Sq.Ft. Apartment in Shree Krishna Heights Malad,Apartment,Malad East,20000000,2,710,28169.0
162,Mumbai,"Versova, Mumbai",Kanakia Hollywood,2 BHK + Servant Room 704 Sq.Ft. Apartment in Kanakia Hollywood,Apartment,Versova,29000000,2,704,41193.0
163,Mumbai,"Andheri East, Mumbai",Eco Nest Andheri East,2 BHK 795 Sq.Ft. Apartment in Eco Nest Andheri East,Apartment,Andheri East,18100000,2,795,22767.0
164,Mumbai,"Jogeshwari West, Mumbai",Lashkaria Pearl,1 BHK 351 Sq.Ft. Apartment in Lashkaria Pearl,Apartment,Jogeshwari West,11000000,1,351,31339.0
165,Mumbai,"Kandivali East, Mumbai",Gundecha Trillium,2 BHK 831 Sq.Ft. Apartment in Gundecha Trillium,Apartment,Kandivali East,34000000,2,831,40915.0
166,Mumbai,"Mulund West, Mumbai",Piramal Revanta,3 BHK 1192 Sq.Ft. Apartment in Piramal Revanta,Apartment,Mulund West,34900000,3,1192,29279.0
167,Mumbai,"Andheri East, Mumbai",Goyal Green Woods,1 BHK 475 Sq.Ft. Apartment in Goyal Green Woods,Apartment,Andheri East,17500000,1,475,36842.0
168,Mumbai,"Charkop Sector 3, Mumbai",Shree Ganesh CHS Charkop,3 BHK + Pooja Room 891 Sq.Ft. Apartment in Shree Ganesh CHS Charkop,Apartment,Charkop Sector 3,19100000,3,891,21437.0
169,Mumbai,"Govandi, Mumbai",MJ Shah Centrio,2 BHK 925 Sq.Ft. Apartment in MJ Shah Centrio,Apartment,Govandi,22500000,2,925,24324.0
170,Mumbai,"Chembur, Mumbai",Hubtown Seasons,3 BHK + Pooja Room 1137 Sq.Ft. Apartment in Hubtown Seasons,Apartment,Chembur,0,3,1137,0.0
171,Mumbai,"Andheri West, Mumbai",Rustomjee Elita,3 BHK 2000 Sq.Ft. Apartment in Rustomjee Elita,Apartment,Andheri West,0,3,2000,0.0
172,Mumbai,"Andheri East, Mumbai",Kanakia Spaces Sevens,2 BHK + Pooja Room 852 Sq.Ft. Apartment in Kanakia Spaces Sevens,Apartment,Andheri East,21000000,2,852,24648.0
173,Mumbai,"Gokhale Road, Mumbai",Shanti Tower Prabhadevi,1 BHK 385 Sq.Ft. Apartment in Shanti Tower Prabhadevi,Apartment,Gokhale Road,15500000,1,385,40260.0
174,Mumbai,"Kanjurmarg West, Mumbai",Sheth Avante,1 BHK 449 Sq.Ft. Apartment in Sheth Avante,Apartment,Kanjurmarg West,11200000,1,449,24944.0
175,Mumbai,"Andheri East, Mumbai",Minal Apartments,2 BHK + Pooja Room 1100 Sq.Ft. Apartment in Minal Apartments,Apartment,Andheri East,23500000,2,1100,21364.0
176,Mumbai,"Goregaon East, Mumbai",New Mahada Colony,2 BHK 860 Sq.Ft. Apartment in New Mahada Colony,Apartment,Goregaon East,15000000,2,860,17442.0
177,Mumbai,"Parel, Mumbai",Kalpataru Avana,5 BHK + Servant Room 2700 Sq.Ft. Apartment in Kalpataru Avana,Apartment,Parel,0,5,2700,0.0
178,Mumbai,"Mandapeshwar, Mumbai",Akshar Bhuvan Mandapeshwar,3 BHK 1150 Sq.Ft. Apartment in Akshar Bhuvan Mandapeshwar,Apartment,Mandapeshwar,27500000,3,1150,23913.0
179,Mumbai,"Malad East, Mumbai",Omkar Alta Monte,3 BHK 1820 Sq.Ft. Apartment in Omkar Alta Monte,Apartment,Malad East,38000000,3,1820,20879.0
180,Mumbai,"Bandra West, Mumbai",Blackstone Maqba Heights,2 BHK + Pooja Room 800 Sq.Ft. Apartment in Blackstone Maqba Heights,Apartment,Bandra West,40000000,2,800,50000.0
181,Mumbai,"Kandivali West, Mumbai",Sandhya Eve Horizon,2 BHK + Extra Room 619 Sq.Ft. Apartment in Sandhya Eve Horizon,Apartment,Kandivali West,16500000,2,619,26656.0
182,Mumbai,"Santacruz West, Mumbai",Woodstock Gardens,2 BHK 696 Sq.Ft. Apartment in Woodstock Gardens,Apartment,Santacruz West,43152000,2,696,62000.0
183,Mumbai,"Santacruz West, Mumbai",Pebbles Marina,2 BHK 785 Sq.Ft. Apartment in Pebbles Marina,Apartment,Santacruz West,45000000,2,785,57325.0
184,Mumbai,"Satejeevan Society, Mumbai",Sunteck Signia Isles,4 BHK 2594 Sq.Ft. Apartment in Sunteck Signia Isles,Apartment,Satejeevan Society,0,4,2594,0.0
185,Mumbai,"Goregaon West, Mumbai",DGS Sheetal Kiara,2 BHK + Extra Room 631 Sq.Ft. Apartment in DGS Sheetal Kiara,Apartment,Goregaon West,15500000,2,631,24564.0
186,Mumbai,"Andheri East, Mumbai",Veena Synergy,2 BHK 700 Sq.Ft. Apartment in Veena Synergy,Apartment,Andheri East,22760000,2,700,32514.0
187,Mumbai,"Vikhroli East, Mumbai",Godrej Platinum Mumbai,3 BHK 1200 Sq.Ft. Apartment in Godrej Platinum Mumbai,Apartment,Vikhroli East,55000000,3,1200,45833.0
188,Mumbai,"Andheri West, Mumbai",Juhu Abhishek Chs Ltd,1 BHK + Extra Room 620 Sq.Ft. Apartment in Juhu Abhishek Chs Ltd,Apartment,Andheri West,18050000,1,620,29113.0
189,Mumbai,"Lokhandwala, Mumbai",Supreme 19,2 BHK + Pooja Room 623 Sq.Ft. Apartment in Supreme 19,Apartment,Lokhandwala,31000000,2,623,49759.0
190,Mumbai,"Andheri East, Mumbai",Dynamix Luma,2 BHK 625 Sq.Ft. Apartment in Dynamix Luma,Apartment,Andheri East,23000000,2,625,36800.0
191,Mumbai,"Bhakti Park, Mumbai",Ajmera Zeon,4 BHK 2456 Sq.Ft. Apartment in Ajmera Zeon,Apartment,Bhakti Park,96300000,4,2456,39210.0
192,Mumbai,"Santacruz West, Mumbai",Parivar CHS Santacruz West,2 BHK 1000 Sq.Ft. Apartment in Parivar CHS Santacruz West,Apartment,Santacruz West,31500000,2,1000,31500.0
193,Mumbai,"Goregaon West, Mumbai",Ekta Tripolis,2 BHK 775 Sq.Ft. Apartment in Ekta Tripolis,Apartment,Goregaon West,32999999,2,775,42581.0
194,Mumbai,"Goregaon East, Mumbai",Oberoi Realty Esquire,3 BHK + Pooja Room 1366 Sq.Ft. Apartment in Oberoi Realty Esquire,Apartment,Goregaon East,70000000,3,1366,51245.0
195,Mumbai,"Kandivali East, Mumbai",Godrej Tranquil,1 BHK 428 Sq.Ft. Apartment in Godrej Tranquil,Apartment,Kandivali East,10100000,1,428,23598.0
196,Mumbai,"Worli, Mumbai",Lodha Kiara,2 BHK 932 Sq.Ft. Apartment in Lodha Kiara,Apartment,Worli,65000000,2,932,69742.0
197,Mumbai,"Andheri West, Mumbai",RNA NG Eclat,2 BHK 801 Sq.Ft. Apartment in RNA NG Eclat,Apartment,Andheri West,0,2,801,0.0
198,Mumbai,"Goregaon East, Mumbai",Omkar Ananta,2 BHK + Pooja Room 650 Sq.Ft. Apartment in Omkar Ananta,Apartment,Goregaon East,16500000,2,650,25385.0
199,Mumbai,"Malad West, Mumbai",Chandak Heritage,2 BHK 1030 Sq.Ft. Apartment in Chandak Heritage,Apartment,Malad West,18000000,2,1030,17476.0
200,Mumbai,"Jacob Circle, Mumbai",Olympia Tower,1 BHK 473 Sq.Ft. Apartment in Olympia Tower,Apartment,Jacob Circle,16000000,1,473,33827.0
201,Mumbai,"Dahisar East, Mumbai",N Rose Northern Hills,3 BHK + Extra Room 1101 Sq.Ft. Apartment in N Rose Northern Hills,Apartment,Dahisar East,34200000,3,1101,31063.0
202,Mumbai,"Marol, Mumbai",Crest Oaks,3 BHK + Study Room 1200 Sq.Ft. Apartment in Crest Oaks,Apartment,Marol,32000000,3,1200,26667.0
203,Mumbai,"Yamnuna Nagar, Mumbai",RNA NG Eclat,3 BHK 1118 Sq.Ft. Apartment in RNA NG Eclat,Apartment,Yamnuna Nagar,60000000,3,1118,53667.0
204,Mumbai,"Byculla West, Mumbai",Marathon Montesouth 2,3 BHK + Servant Room 1194 Sq.Ft. Apartment in Marathon Montesouth 2,Apartment,Byculla West,52500000,3,1194,43970.0
205,Mumbai,"Borivali East, Mumbai",Kaustubh Platinum,2 BHK 780 Sq.Ft. Apartment in Kaustubh Platinum,Apartment,Borivali East,24800000,2,780,31795.0
206,Mumbai,"Mulund West, Mumbai",Runwal Greens Rosewood,"3 BHK + Pooja Room,Servant Room,Study Room 1424 Sq.Ft. Apartment in Runwal Greens Rosewood",Apartment,Mulund West,32200000,3,1424,22612.0
207,Mumbai,"Mulund West, Mumbai",The Wadhwa Atmosphere,2.5 BHK 1100 Sq.Ft. Apartment in The Wadhwa Atmosphere,Apartment,Mulund West,25000000,5,1100,22727.0
208,Mumbai,"Bandra West, Mumbai",Manohar Apartment,2 BHK 867 Sq.Ft. Apartment in Manohar Apartment,Apartment,Bandra West,55000000,2,867,63437.0
209,Mumbai,"Dahisar East, Mumbai",DB Orchid Ozone,2 BHK 628 Sq.Ft. Apartment in DB Orchid Ozone,Apartment,Dahisar East,8200000,2,628,13057.0
210,Mumbai,"Dahisar East, Mumbai",DB Orchid Ozone,2 BHK + Pooja Room 630 Sq.Ft. Apartment in DB Orchid Ozone,Apartment,Dahisar East,8200000,2,630,13016.0
211,Mumbai,"Chandivali, Mumbai",Nahar Amrit Shakti,3 BHK + Servant Room 1800 Sq.Ft. Apartment in Nahar Amrit Shakti,Apartment,Chandivali,34900000,3,1800,19389.0
212,Mumbai,"Ghatkopar East, Mumbai",Ruparel Pristine,2 BHK 725 Sq.Ft. Apartment in Ruparel Pristine,Apartment,Ghatkopar East,24000000,2,725,33103.0
213,Mumbai,"Kamala Mill, Mumbai",Lodha Kiara,"3 BHK + Pooja Room,Servant Room 1315 Sq.Ft. Apartment in Lodha Kiara",Apartment,Kamala Mill,78000000,3,1315,59316.0
214,Mumbai,"Kanjurmarg East, Mumbai",Kanakia Spaces Zen World,1 BHK 454 Sq.Ft. Apartment in Kanakia Spaces Zen World,Apartment,Kanjurmarg East,12100000,1,454,26652.0
215,Mumbai,"Malad East, Mumbai",Sethia Imperial Avenue,2 BHK + Extra Room 568 Sq.Ft. Apartment in Sethia Imperial Avenue,Apartment,Malad East,18000000,2,568,31690.0
216,Mumbai,"Tilak Nagar, Mumbai",Tilak Nagar Building,1.5 BHK 480 Sq.Ft. Apartment in Tilak Nagar Building,Apartment,Tilak Nagar,10500000,5,480,21875.0
217,Mumbai,"Andheri West, Mumbai",Pearl Heights,2 BHK + Pooja Room 1100 Sq.Ft. Apartment in Pearl Heights,Apartment,Andheri West,30000000,2,1100,27273.0
218,Mumbai,"Andheri West, Mumbai",Bianca Tower,3 BHK 1300 Sq.Ft. Apartment in Bianca Tower,Apartment,Andheri West,57500000,3,1300,44231.0
219,Mumbai,"Vikhroli East, Mumbai",Adityaraj Square,2 BHK 531 Sq.Ft. Apartment in Adityaraj Square,Apartment,Vikhroli East,13000000,2,531,24482.0
220,Mumbai,"Worli, Mumbai",Parinee Parmar 27Gbr,2 BHK 626 Sq.Ft. Apartment in Parinee Parmar 27Gbr,Apartment,Worli,9100000,2,626,14537.0
221,Mumbai,"Andheri West, Mumbai",Bini Winspace Amelio,2 BHK 713 Sq.Ft. Apartment in Bini Winspace Amelio,Apartment,Andheri West,25700000,2,713,36045.0
222,Mumbai,"Prabhadevi, Mumbai",Rustomjee Crown,4 BHK + Servant Room 2500 Sq.Ft. Apartment in Rustomjee Crown,Apartment,Prabhadevi,0,4,2500,0.0
223,Mumbai,"Mulund West, Mumbai",Marathon Mount Classic Apartment,2 BHK 1135 Sq.Ft. Apartment in Marathon Mount Classic Apartment,Apartment,Mulund West,21000000,2,1135,18502.0
224,Mumbai,"Vile Parle East, Mumbai",Vijayaben Kanji Tower,1 BHK 409 Sq.Ft. Apartment in Vijayaben Kanji Tower,Apartment,Vile Parle East,0,1,409,0.0
225,Mumbai,"Anand Nagar, Mumbai",Bharat Auravistas,3 BHK 1360 Sq.Ft. Apartment in Bharat Auravistas,Apartment,Anand Nagar,52000000,3,1360,38235.0
226,Mumbai,"Mulund West, Mumbai",Runwal Sanctuary,2 BHK + Extra Room 768 Sq.Ft. Apartment in Runwal Sanctuary,Apartment,Mulund West,21000000,2,768,27344.0
227,Mumbai,"Mhada Colony, Mumbai",Bharat Auravistas,3 BHK 1251 Sq.Ft. Apartment in Bharat Auravistas,Apartment,Mhada Colony,46000000,3,1251,36771.0
228,Mumbai,"Khar West, Mumbai",Oberoi Crest,4 BHK + Extra Room 3300 Sq.Ft. Apartment in Oberoi Crest,Apartment,Khar West,0,4,3300,0.0
229,Mumbai,"Ghatkopar West, Mumbai",Neelkanth Enclave Mumbai,2 BHK 805 Sq.Ft. Apartment in Neelkanth Enclave Mumbai,Apartment,Ghatkopar West,28500000,2,805,35404.0
230,Mumbai,"Bandra East, Mumbai",Paranjape Athena,2 BHK 688 Sq.Ft. Apartment in Paranjape Athena,Apartment,Bandra East,25000000,2,688,36337.0
231,Mumbai,"Lower Parel, Mumbai",Indiabulls Sky,4 BHK 4500 Sq.Ft. Apartment in Indiabulls Sky,Apartment,Lower Parel,139999000,4,4500,31111.0
232,Mumbai,"Vile Parle West, Mumbai",Bharat Primavistas,"5 BHK + Pooja Room,Extra Room 2800 Sq.Ft. Apartment in Bharat Primavistas",Apartment,Vile Parle West,114800000,5,2800,41000.0
233,Mumbai,"Andheri West, Mumbai",Verdent Boston Harbor,2 BHK 784 Sq.Ft. Apartment in Verdent Boston Harbor,Apartment,Andheri West,23500000,2,784,29974.0
234,Mumbai,"Matunga, Mumbai",Indumani Heights,2 BHK 805 Sq.Ft. Apartment in Indumani Heights,Apartment,Matunga,44200000,2,805,54907.0
235,Mumbai,"Andheri West, Mumbai",Kabra Metro One,3 BHK + Pooja Room 1119 Sq.Ft. Apartment in Kabra Metro One,Apartment,Andheri West,47000000,3,1119,42002.0
236,Mumbai,"Malad East, Mumbai",111 Hyde Park,4 BHK 1820 Sq.Ft. Apartment in 111 Hyde Park,Apartment,Malad East,67500000,4,1820,37088.0
237,Mumbai,"Mahalaxmi, Mumbai",Lokhandwala Infrastructure Minerva,3 BHK 2000 Sq.Ft. Apartment in Lokhandwala Infrastructure Minerva,Apartment,Mahalaxmi,0,3,2000,0.0
238,Mumbai,"Vikhroli West, Mumbai",Raj Legacy I,2 BHK 1090 Sq.Ft. Apartment in Raj Legacy I,Apartment,Vikhroli West,18800000,2,1090,17248.0
239,Mumbai,"Tilak Nagar, Mumbai",Elite The Crown,2 BHK + Extra Room 670 Sq.Ft. Apartment in Elite The Crown,Apartment,Tilak Nagar,18000000,2,670,26866.0
240,Mumbai,"Chandivali, Mumbai",Sumer Valley,3 BHK + Pooja Room 1537 Sq.Ft. Apartment in Sumer Valley,Apartment,Chandivali,56000000,3,1537,36435.0
241,Mumbai,"Chembur, Mumbai",Shree Krishna Devasya,2 BHK 750 Sq.Ft. Apartment in Shree Krishna Devasya,Apartment,Chembur,27000000,2,750,36000.0
242,Mumbai,"Worli, Mumbai",Birla Niyaara,2 BHK + Servant Room 849 Sq.Ft. Apartment in Birla Niyaara,Apartment,Worli,0,2,849,0.0
243,Mumbai,"Saki Vihar Road, Mumbai",Vasukamal CHS,3 BHK 1070 Sq.Ft. Apartment in Vasukamal CHS,Apartment,Saki Vihar Road,28500000,3,1070,26636.0
244,Mumbai,"Bandra East, Mumbai",Sangam Nero,2 BHK 683 Sq.Ft. Apartment in Sangam Nero,Apartment,Bandra East,27500000,2,683,40264.0
245,Mumbai,"Bandra East, Mumbai",Vinayak CHS Bandra East,2 BHK 800 Sq.Ft. Apartment in Vinayak CHS Bandra East,Apartment,Bandra East,44000000,2,800,55000.0
246,Mumbai,"Prabhadevi, Mumbai",Sugee Atharva,1.5 BHK 470 Sq.Ft. Apartment in Sugee Atharva,Apartment,Prabhadevi,23500000,5,470,50000.0
247,Mumbai,"Malad West, Mumbai",Yukti Anchor Point Oasis,3 BHK + Study Room 980 Sq.Ft. Apartment in Yukti Anchor Point Oasis,Apartment,Malad West,28900000,3,980,29490.0
248,Mumbai,"Antop Hill, Mumbai",Unity Wadala CHS,1 BHK 700 Sq.Ft. Apartment in Unity Wadala CHS,Apartment,Antop Hill,16500000,1,700,23571.0
249,Mumbai,"Nahur East, Mumbai",Kings Anand Dham,2 BHK 585 Sq.Ft. Apartment in Kings Anand Dham,Apartment,Nahur East,12000000,2,585,20513.0
250,Mumbai,"Oshiwara, Mumbai",Dev Leo Tower,2 BHK + Pooja Room 670 Sq.Ft. Apartment in Dev Leo Tower,Apartment,Oshiwara,24500000,2,670,36567.0
251,Mumbai,"Andheri West, Mumbai",Platinum Life,3 BHK 900 Sq.Ft. Apartment in Platinum Life,Apartment,Andheri West,48300000,3,900,53667.0
252,Mumbai,"Andheri West, Mumbai",Platinum Life,2 BHK 665 Sq.Ft. Apartment in Platinum Life,Apartment,Andheri West,26500000,2,665,39850.0
253,Mumbai,"Andheri West, Mumbai",Versova Heaven CHS,2 BHK + Pooja Room 750 Sq.Ft. Apartment in Versova Heaven CHS,Apartment,Andheri West,550000000,2,750,733333.0
254,Mumbai,"Worli, Mumbai",Lodha Trump Tower,5 BHK + Servant Room 3378 Sq.Ft. Apartment in Lodha Trump Tower,Apartment,Worli,230000000,5,3378,68088.0
255,Mumbai,"Mulund West, Mumbai",Piramal Revanta,2 BHK 660 Sq.Ft. Apartment in Piramal Revanta,Apartment,Mulund West,20500000,2,660,31061.0
256,Mumbai,"Goregaon East, Mumbai",IM Applaud 38,2 BHK 750 Sq.Ft. Apartment in IM Applaud 38,Apartment,Goregaon East,21000000,2,750,28000.0
257,Mumbai,"Goregaon East, Mumbai",DB Woods,2.5 BHK 980 Sq.Ft. Apartment in DB Woods,Apartment,Goregaon East,44999999,5,980,45918.0
258,Mumbai,"Kanjurmarg East, Mumbai",Runwal Bliss,2 BHK 813 Sq.Ft. Apartment in Runwal Bliss,Apartment,Kanjurmarg East,23500000,2,813,28905.0
259,Mumbai,"Gokuldham Colony, Mumbai",Lakshachandi Apartments,3 BHK + Servant Room 1200 Sq.Ft. Apartment in Lakshachandi Apartments,Apartment,Gokuldham Colony,36500000,3,1200,30417.0
260,Mumbai,"Borivali East, Mumbai",Dheeraj Enclave,2 BHK 860 Sq.Ft. Apartment in Dheeraj Enclave,Apartment,Borivali East,18300000,2,860,21279.0
261,Mumbai,"Kanjurmarg East, Mumbai",Kanakia Spaces Zen World,2 BHK + Pooja Room 732 Sq.Ft. Apartment in Kanakia Spaces Zen World,Apartment,Kanjurmarg East,23600000,2,732,32240.0
262,Mumbai,"Bharatiya Kamala Nagar, Mumbai",Ajmera I Land Aeon,4 BHK + Extra Room 1616 Sq.Ft. Apartment in Ajmera I Land Aeon,Apartment,Bharatiya Kamala Nagar,87500000,4,1616,54146.0
263,Mumbai,"Dahisar East, Mumbai",N Rose Northern Hills,3 BHK 1260 Sq.Ft. Apartment in N Rose Northern Hills,Apartment,Dahisar East,37600000,3,1260,29841.0
264,Mumbai,"Powai, Mumbai",Hiranandani Gardens Glen Ridge,"4 BHK + Servant Room,Extra Room 2200 Sq.Ft. Apartment in Hiranandani Gardens Glen Ridge",Apartment,Powai,130000000,4,2200,59091.0
265,Mumbai,"Matunga East, Mumbai",Princecare Amaraa,3 BHK 999 Sq.Ft. Apartment in Princecare Amaraa,Apartment,Matunga East,50900000,3,999,50951.0
266,Mumbai,"Malad West, Mumbai",DGS Sheetal Anupam,3 BHK + Pooja Room 671 Sq.Ft. Apartment in DGS Sheetal Anupam,Apartment,Malad West,19000000,3,671,28316.0
267,Mumbai,"Bhandup West, Mumbai",Kalpataru Crest,"2 BHK + Pooja Room,Servant Room 813 Sq.Ft. Apartment in Kalpataru Crest",Apartment,Bhandup West,21500000,2,813,26445.0
268,Mumbai,"Borivali East, Mumbai",K Raheja Residency,3 BHK + Pooja Room 1430 Sq.Ft. Apartment in K Raheja Residency,Apartment,Borivali East,34000000,3,1430,23776.0
269,Mumbai,"Borivali East, Mumbai",Oberoi Sky City,3 BHK 1500 Sq.Ft. Apartment in Oberoi Sky City,Apartment,Borivali East,50000000,3,1500,33333.0
270,Mumbai,"Kandivali West, Mumbai",RNA Regency Park,2 BHK 1040 Sq.Ft. Apartment in RNA Regency Park,Apartment,Kandivali West,30000000,2,1040,28846.0
271,Mumbai,"Worli, Mumbai",Indiabulls Blu,"3 BHK + Pooja Room,Servant Room,Study Room,Extra Room 1734 Sq.Ft. Apartment in Indiabulls Blu",Apartment,Worli,100000000,3,1734,57670.0
272,Mumbai,"Malad East, Mumbai",Kanakia Levels,2 BHK + Pooja Room 747 Sq.Ft. Apartment in Kanakia Levels,Apartment,Malad East,36000000,2,747,48193.0
273,Mumbai,"Pali Hill, Mumbai",Wadhwa Samarpan,4 BHK + Servant Room 3964 Sq.Ft. Apartment in Wadhwa Samarpan,Apartment,Pali Hill,0,4,3964,0.0
274,Mumbai,"Jogeshwari West, Mumbai",Oshiwara Paradise CHS,3 BHK 1200 Sq.Ft. Apartment in Oshiwara Paradise CHS,Apartment,Jogeshwari West,505000000,3,1200,420833.0
275,Mumbai,"Ketkipada, Mumbai",DB Realty Orchid Ozone,1 BHK 425 Sq.Ft. Apartment in DB Realty Orchid Ozone,Apartment,Ketkipada,5100000,1,425,12000.0
276,Mumbai,"Andheri East, Mumbai",Oberoi Realty Splendor,2.5 BHK 889 Sq.Ft. Apartment in Oberoi Realty Splendor,Apartment,Andheri East,47500000,5,889,53431.0
277,Mumbai,"Ghatkopar West, Mumbai",Kalpataru Aura,2.5 BHK + Study Room 958 Sq.Ft. Apartment in Kalpataru Aura,Apartment,Ghatkopar West,34800000,5,958,36326.0
278,Mumbai,"Malad West, Mumbai",Triumph Tower,3 BHK + Extra Room 1125 Sq.Ft. Apartment in Triumph Tower,Apartment,Malad West,35000000,3,1125,31111.0
279,Mumbai,"Andheri West, Mumbai",Ekdant Society Andheri,3 BHK 1250 Sq.Ft. Apartment in Ekdant Society Andheri,Apartment,Andheri West,37500000,3,1250,30000.0
280,Mumbai,"Kandivali East, Mumbai",Videocon Towers B CHS LTD,2 BHK + Pooja Room 1175 Sq.Ft. Apartment in Videocon Towers B CHS LTD,Apartment,Kandivali East,21000000,2,1175,17872.0
281,Mumbai,"Riddhi Gardens, Mumbai",Lalani Velentine Apartment VI,2 BHK 710 Sq.Ft. Apartment in Lalani Velentine Apartment VI,Apartment,Riddhi Gardens,17500000,2,710,24648.0
282,Mumbai,"Andheri East, Mumbai",Sheth Vasant Oasis,2 BHK + Study Room 1000 Sq.Ft. Apartment in Sheth Vasant Oasis,Apartment,Andheri East,27000000,2,1000,27000.0
283,Mumbai,"Matunga East, Mumbai",Sobhaniye Riddhi Siddhi Apartment,4 BHK 1450 Sq.Ft. Apartment in Sobhaniye Riddhi Siddhi Apartment,Apartment,Matunga East,70000000,4,1450,48276.0
284,Mumbai,"Goregaon East, Mumbai",Royal Palms Ruby Isle Apartment,3 BHK 1278 Sq.Ft. Apartment in Royal Palms Ruby Isle Apartment,Apartment,Goregaon East,11000000,3,1278,8607.0
285,Mumbai,"Goregaon East, Mumbai",Gokuldham CHS Goregaon,"2.5 BHK + Pooja Room,Study Room 1400 Sq.Ft. Apartment in Gokuldham CHS Goregaon",Apartment,Goregaon East,49000000,5,1400,35000.0
286,Mumbai,"Santacruz East, Mumbai",Fortune Heights Santacruz,2 BHK 830 Sq.Ft. Apartment in Fortune Heights Santacruz,Apartment,Santacruz East,21000000,2,830,25301.0
287,Mumbai,"Charkop Sector 2, Mumbai",Dem Icon,2 BHK 684 Sq.Ft. Apartment in Dem Icon,Apartment,Charkop Sector 2,16100000,2,684,23538.0
288,Mumbai,"Kanjurmarg East, Mumbai",Runwal Bliss,2 BHK 1150 Sq.Ft. Apartment in Runwal Bliss,Apartment,Kanjurmarg East,0,2,1150,0.0
289,Mumbai,"Azad Nagar, Mumbai",Shree Darshan,2 BHK 550 Sq.Ft. Apartment in Shree Darshan,Apartment,Azad Nagar,16500000,2,550,30000.0
290,Mumbai,"Parel, Mumbai",Omkar Veda Exclusive,3 BHK 1588 Sq.Ft. Apartment in Omkar Veda Exclusive,Apartment,Parel,52000060,3,1588,32746.0
291,Mumbai,"Sewri, Mumbai",Celestia Spaces,"3 BHK + Pooja Room,Servant Room,Study Room 1207 Sq.Ft. Apartment in Celestia Spaces",Apartment,Sewri,0,3,1207,0.0
292,Mumbai,"Parel, Mumbai",Promesa Fremont,2 BHK 702 Sq.Ft. Builder Floor in Promesa Fremont,Builder Floor,Parel,29500000,2,702,42023.0
293,Mumbai,"Khan Estate, Mumbai",Vision Heights,1.5 BHK 597 Sq.Ft. Apartment in Vision Heights,Apartment,Khan Estate,16000000,5,597,26801.0
294,Bangalore,"Budigere, Bangalore",Brigade Buena Vista,2 BHK 1148 Sq.Ft. Apartment in Brigade Buena Vista,Apartment,Budigere,14800000,2,1148,12892.0
295,Bangalore,"Richmond Road, Bangalore",Richmond Premier,3 BHK + Extra Room 3818 Sq.Ft. Penthouse in Richmond Premier,Penthouse,Richmond Road,75000000,3,3818,19644.0
296,Bangalore,"Lingarajapuram, Bangalore",Bearys Anugraha,6 BHK + Extra Room 6000 Sq.Ft. Independent House in Bearys Anugraha,Independent House,Lingarajapuram,55000000,6,6000,9167.0
297,Bangalore,"Whitefield, Bangalore",ELV Blossom,"2 BHK + Pooja Room,Study Room 1100 Sq.Ft. Apartment in ELV Blossom",Apartment,Whitefield,26500000,2,1100,24091.0
298,Bangalore,"Konanakunte, Bangalore",Prestige Falcon City,3 BHK 1591 Sq.Ft. Apartment in Prestige Falcon City,Apartment,Konanakunte,31500000,3,1591,19799.0
